Months since started cubing	Months since started speedcubing	Best 3x3 single	Best 3x3 Ao5	Best 3x3 Ao12	Best 3x3 Ao100	Known algorithm sets
72	60	8.9	11.34	12.44	13.51	OLL, PLL
36	3	9.66	11.67	12.91	16.04	PLL
36	36	21.86	28.04	29.05	35.22	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL
60	60	9.45	13.51	14.59	15.88	OLL, PLL
60	36	10.43	13.14	13.52	15.39	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL
48	3	0:50				Just whatever I have for beginners method
3	3	19.8	24	28	32	OLL, PLL
3	3	23.34	28.77	31.1	34.79	Ortega.
36	36	12.8	16.11	17.17	18.72	OLL, PLL
36	3	18.83	26.52	28.72	29.87	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), PLL
24	36	23.05				OLL, PLL
48	36	4.77	7.13	7.92	8.57	OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, ELL, Magic Wondeful
72	48	13.24	18.34	20.37	21.51	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL, VHLS
24	24	7.42	10.6	11.91	12.93	OLL, PLL
72	24	1:25	2:05			Just whatever I have for beginners method
120	120	7.29	10.5	11	12.5	OLL, PLL
72	48	17.9				Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), COLL - S (Sune), COLL - AS (Antisune)
24	24	7.6	10.02	10.8	11.2	OLL, PLL
3	6	11.04	14.52	17.14	18.55	OLL, PLL
18	18	8.07	10.69	11.4	12.02	OLL, PLL
24	6	17.36	20.28	23.61	25.53	EOLL (non-corner-preserving - the edge part of 2-look OLL), PLL
48	36	6.59			9.39	OLL, PLL, COLL - U (Headlights), COLL - H (Doublesune), VHLS (intuitive is fine)
3	3	59	1:12	1:13	1:43	Just whatever I have for beginners method
60	12	20.69	32.29	32.55		OCLL (the corners part of 2-look OLL), PLL
72	72	19.25	26.36			OCLL (the corners part of 2-look OLL), PLL
36	36	17.46	22.85			EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), PLL
36	3	18	32	35	35	Just whatever I have for beginners method, OLL, PLL
3	3	0:59	1:18	1:24		OLL, PLL
48	18	18.32	24.79	26	28	OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
36	36	17.47	23.42	23	23	OLL, PLL, CMLL
48	12	16.44	20.08	22.18	24.5	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
120	120	12.6	16	17.2	19.4	OLL, PLL
18	12	19.97	20.13	20.56	20.81	OLL, PLL, CMLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), COLL - S (Sune), COLL - AS (Antisune), f2l?
12	6	10.95	14.21	15.63	17.4	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), CMLL
18	12	6.3	7.99	8.12	9.35	OLL, PLL
18	18	9.99	11.37		15.67	OLL, PLL
72	24	7	10	10.5	12	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), 2GLL - U
72	48					OLL, PLL
72						OLL, PLL
60	24	9.18	11.27	11.86	12.65	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), PLL
48	36	9.87	13.7	14.5		OLL, PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), COLL - S (Sune), COLL - AS (Antisune), VLS
1	3					Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms)
120	120	22.14	31.59	40.05	40.06	Just whatever I have for beginners method, PLL
36	24	8.51	12.91	13.23	14	OLL, PLL
24	12	14	21.8	21.9	24.5	OLL, PLL
3	3	36.14				
18	3	44.23	48.39	51.68		Just whatever I have for beginners method, OLL, PLL
18	18	13.9	19.34	19.38	20.6	OLL, PLL
120	18	13.48				OLL, PLL
18	48					
24	24	11	16	17	20	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL
60	6	14.36	19.67	20.87	25.86	OLL, PLL
12	6	20.34	24.62	26.01	28.13	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, PLL, COLL - H (Doublesune)
60	60	9.49	12.19	13.18	14.31	OLL, PLL
48						Just whatever I have for beginners method
1	1					Just whatever I have for beginners method, OLL, PLL
48	36	12.5	16.3	17.4	18.8	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), PLL
12	6	6.13	12.98	13.99	19.98	OLL, PLL
60	60					CMLL
12	12					Just whatever I have for beginners method, Part way through learning CMLL
12	12	17.79	28.7	31.11		Just whatever I have for beginners method, OLL, PLL
72	18	13.75	17.8	19.7	19.1	OLL, PLL
24	12					Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms)
24	3	27:00	34:48	37:26	38:10	OLL
3	3	11.28	16.5	17.75	18.84	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL
3	6	20.64	23		29	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL)
6	6	23.58	49.33	47.94		Beginners with 2-look
60	48	12.84	24	28	28	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
18	12	13.73	16	18		PLL
180	6					EOLL (non-corner-preserving - the edge part of 2-look OLL), PLL
24	3					
24	18	46.23	58	58		Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
72	36					EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - U (Headlights), COLL - H (Doublesune)
12	12	13.46	18.73	20.83	22.16	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - H (Doublesune)
36	60	24.47	50.19	54.89	1:03.62	Just whatever I have for beginners method
60	6	12.37	17.2	19.09	20.12	OLL, PLL
12	1	19.5	35.62			Just whatever I have for beginners method
72	72	13.5	15.15	16.34	19.45	Just whatever I have for beginners method, OLL, PLL, CMLL
	48	20.04	26.47	28.94	30.16	OCLL (the corners part of 2-look OLL), PLL
36	24					Just whatever I have for beginners method
120	18	12.54	16.8	19.2	21.57	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), PLL
24	24	16.32				OCLL (the corners part of 2-look OLL), PLL
24	24	14.69	18.24	19.95	21.11	PLL
72	18	19	28			Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
60	48	6.76	8.81	9.73	10.66	Just whatever I have for beginners method, OLL, PLL, COLL - H (Doublesune), COLL - S (Sune)
48	18	16.5	19.73	20	21	OLL, PLL, CMLL
36	18	11.22				Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno)
12	12	20	25	30	34	OLL, PLL, WV
12	12	18.7	23.9	25.9	27.3	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
72	72	7.24			14	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - H (Doublesune)
12	12					Just whatever I have for beginners method
72	36	19.26	20.58	20.85	28.36	Just whatever I have for beginners method, Learning Cfop, assorted actually learned
72		27.34				Just whatever I have for beginners method
24	24					OLL, PLL
3	3	21	31	34	34	PLL
24	24	10.29	12.39	14.08	15.48	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), COLL - S (Sune), COLL - AS (Antisune)
48	36	20.87	29.78	32.77	34.65	COLL - U (Headlights), COLL - L (Bowtie)
24	12	13.04	18	19.5	20	OLL, PLL
24	6					Just whatever I have for beginners method, OLL, PLL
18	72	14.53	16.69	17.28	18.33	OLL, PLL
72	24	25				CMLL
24	1	32.4				Just whatever I have for beginners method
180	180	16	31	35	44	Just whatever I have for beginners method, About 15 BLL-like algs, some made up
36	24	32	43.5	47	50	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
48	48	6.18	8.61	9.48	10.07	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - H (Doublesune), COLL - Pi (Bruno)
36	36	15.94				EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms)
36	36	15.66	18	20	23	PLL
12	12	16.52	19.28	20.78	22.58	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), PLL
36	36	7.94	11.61	13.23	14.53	OLL, PLL
24	3	43.34	55	57.9		Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - U (Headlights), COLL - Pi (Bruno), COLL - S (Sune), COLL - AS (Antisune), Line (1LLL set)
48	36	9.36	14.47	15.86	17.37	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - H (Doublesune), I know a feww zbll and some coll
48	24	5	16.55	18.4	19.56	OLL, PLL, CLL, CMLL
120		22				mostly beginning. Very few pll oll
60	36	19.64	24.35			EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - H (Doublesune), COLL - Pi (Bruno), COLL - S (Sune), COLL - AS (Antisune)
3	3	15	18.6	22	26	CMLL
120	3	30.45	42.58			OLL, PLL
72	72	4.95	7.6	8.2	8.8	OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), 2GLL - T, 2GLL - U, WV, VLS
60	60	11.48	14.82	16.19	17.25	PLL
180	18					Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL
18	18	10.73	13.5	14.5	15.8	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL
12	3	21.31	39			2 look oll and pll + F2L
24	24	23.57	34.34	34.96	0	OCLL (the corners part of 2-look OLL), OLL, PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - S (Sune), COLL - AS (Antisune)
3	12					EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL, CMLL
120	72	19	22	23	26	OLLCP (50% or greater)
120	120	6.12	8.79	10.05	11.02	OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, CLL, CMLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), COLL - S (Sune), COLL - AS (Antisune)
3	3	48				OLL, PLL, f2l
180	48	9.31	12.09	12.69	14.15	OLL, PLL
180	120					Just whatever I have for beginners method
72	48	0:19.91	0:24.53	0:29.83	0:34.82	OLL, PLL
60	60	10.65	13.75	14.25	15.5	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, VHLS (intuitive is fine)
60	48	9.79	12.99	14.16	15.34	PLL
120	24	9.8	12.76	14	15.5	OLL, PLL
18	6					Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL
24	24					OLL, PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - H (Doublesune), COLL - Pi (Bruno)
36	18	19.48				Just whatever I have for beginners method
48	12	26.33	42.6	44.7		OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL
24	3	21.48	30.78	33.15	35.78	OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms)
18	12	8.56	12.22	13.22	13.69	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, CLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - H (Doublesune), COLL - Pi (Bruno)
12	6	20.22	24.1	26.65	28.79	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL
18	24	11.77	15	17.5	18.5	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
24	24					
12	12	15.77	20.39	22.08	24.31	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms)
72	48	8.22	11.06	12.04	13.06	OLL, PLL, WV
48	24	9.02	13.52	14.86	14.53	Just whatever I have for beginners method, OLL, PLL
48	36	16.63	24.31	25.64	28.89	OCLL (the corners part of 2-look OLL), PLL
24	12	4.9	6.78	7.52	9.87	OLL, PLL
72	60	7.43	9.76	10.59	11.54	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - S (Sune), COLL - AS (Antisune), VHLS (intuitive is fine), WV
6	6	12.63	17.08	17.98	19.99	OLL, PLL
24	18					COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), COLL - S (Sune), COLL - AS (Antisune)
72	72	9.08	11.28	12.54	12.8	OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
180	72	8.98				OLL, PLL
12	6	17.75	21.5	22.98	25.23	EOLL (non-corner-preserving - the edge part of 2-look OLL), PLL
60	60	39.58	54.84			Just whatever I have for beginners method
24	12	25.06	35	35		OLL, PLL
36	36	15.59	17.5	17.9	19.2	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
24	24	19.14	21.06	24.2	27.11	OLL, PLL
72	36	11.92	18.46	20.4	22.34	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), PLL
60	24	14.96	18.13	20.22	22.05	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), PLL
36	36	10.38	12.76	14.27	15.29	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - H (Doublesune)
72	72	6.38	9.03	9.5	10.1	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune)
24	18	9.56	13.51	14.54		OLL, PLL
12	12	8.56	12.55	12.98	14.35	OLL, PLL
36	24	16.59	19.9	20.31	21.26	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), PLL
12	6	24.76	29.94	32.23		OLL, PLL
24	18	6.21	9.87	10.67	11.47	OLL, PLL
72	6	18	21			EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), PLL
72	48	17.26	20.48	21.97	23.82	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL
18	3	35	42			OLL, PLL
12	6	0:12.5	0:22	0:23	0:27	Just whatever I have for beginners method
12	6	8.28	12.77	13.07	13.2	Just whatever I have for beginners method, OLL, PLL, VHLS (intuitive is fine)
72	18	9.68	12.64	13.17	14.29	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), PLL
12	18	12.03	17.6	18.95	20.72	EPLL (PLL for edges, i.e. U/H/Z perms), PLL
18	12	7.03	11.05	13.27	14.62	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, ELL, CLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), WV, VLS
48	48	7.63	12.23	14.48	15.59	OLL, PLL, CLL, VLS
120	120	21	27	28	31	PLL
18	24	10.56				OLL, PLL
		1:03				Just whatever I have for beginners method
36	24	23.5	27.3	30.3	32.5	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), PLL
60	48	11.65	15.58	16.69	18.88	OLL, PLL
48	60	5.44	8.42	9.06	10.08	OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, ZBLL - L, WV
48	24	13.49	17.74	19.31	21.05	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), PLL
72	72	8.82	12.45			OLL, PLL
18	18	11.42	14.52	16.2	16	PLL
48	48	6.53	9.17	9.84	10.95	OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - U (Headlights), COLL - H (Doublesune), COLL - Pi (Bruno)
120	120					Just whatever I have for beginners method, OLL, PLL
120	12	27	32	36		EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL)
24	18	12.34	16.69	17.83	19.5	OLL, PLL
60	24					EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno)
72	60	8.82	12.95	13.38		OLL, PLL
36	36	13.12				EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL
120						Just whatever I have for beginners method
12	6	17.54	24.35	24.78		OLL, PLL
9	9	29.58	35.58	41.36	45.61	OLL, PLL
24	18	8.91	12.2			OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - H (Doublesune), COLL - Pi (Bruno), WV
72	72	7.87	10	11.12		EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
3	3					EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, PLL, COLL - U (Headlights), COLL - H (Doublesune), COLL - S (Sune), COLL - AS (Antisune), Blind methods, Pochman and M2
24	24	18.14	23.7	24.93	27.39	OLL, PLL
36		31.97	42.37	43.89	47.82	Just whatever I have for beginners method
60	60	21.02	26.04	27.47	30.07	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms)
60	36	15.74				OLL, PLL
120	60	13.1			18.5	OLL, PLL
180	180	7.58	12.44	12.94	13.11	OCLL (the corners part of 2-look OLL), OLL, PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), COLL - S (Sune), COLL - AS (Antisune), OLLCP (50% or greater)
48	48					Just whatever I have for beginners method, F2L
60						Just whatever I have for beginners method
24	3					
48	48	17	22	24	27	CLL, CMLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), COLL - S (Sune), COLL - AS (Antisune)
12	12	14.48	20.01	21.25	23.73	OLL, PLL
60	60	13.1	19.87	21.27	24.75	OLL, PLL
72	72	5.3	7.63	8.11	8.96	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), VHLS (intuitive is fine), Magic Wondeful, WV
36	36	8.02	13.53	14.64	14.97	OLL, PLL, CMLL
24	24		11	12	14.3	OLL, PLL, CMLL
72	18	8.19	12.22	12.84	14	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL, CMLL
72	24	24.87	38.15	39.12	42	Just whatever I have for beginners method, OLL, PLL
120	120	25.88	32.48	35.36		Just whatever I have for beginners method, OCLL (the corners part of 2-look OLL), PLL
3	3	8.46	14.54	17.87	18.19	Just whatever I have for beginners method, OLL, PLL
24	3	26.1				OCLL (the corners part of 2-look OLL), PLL
48	24	24.56	29.31			Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms)
48	48					EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, ELL, CLL, CMLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), COLL - S (Sune), COLL - AS (Antisune), 2GLL - T, 2GLL - U, 2GLL - L, 2GLL - H, 2GLL - Pi, 2GLL - S, 2GLL - AS, ZBLL - T, ZBLL - U, ZBLL - L, ZBLL - H, ZBLL - Pi, ZBLL - S, ZBLL - AS, ZZLL, OLLCP (50% or greater), VHLS (intuitive is fine), WV, SV, VLS, HLS, ELS, CLS, OLS, other (any), CPLS, TTLL, TLSE
72	60					EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), PLL
48	48	12.66	17.14	18.28		PLL
12	3					Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), CMLL, 2GLL - S, 2GLL - AS
48	18	45.53	1.78	2.54	0	Just whatever I have for beginners method
18	18	10.9	17.56	19.56	20.6	PLL
18	18	9.58	13.18	13.91	15.17	Just whatever I have for beginners method, OLL, PLL
24	24	18.42	21.44	22.83	0	Just whatever I have for beginners method
36	12	19.22	22.53	24.74	26.23	Sorry, I don't know how to complete this, I know half CMLL cases, other than that it's two look + EO
120	72					PLL
36	36	16.34	21.4			PLL
3	3	15	21	25	28	PLL
24	18	17.67	22	23.78	25.2	Just whatever I have for beginners method, I don't even know
60	6	28	32			Just whatever I have for beginners method
24	24	19.83	22.75	27.44		Just whatever I have for beginners method, OLL, PLL, COLL - S (Sune), COLL - AS (Antisune)
18	18	13.27	17.25			EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), PLL
18	36	14.52	18.68	19.3	24.31	OLL, PLL, COLL - U (Headlights)
48	48	10.55	14.94	15.8	17.09	OLL, PLL
60	60	15.73	18.49	20.52	22.52	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), PLL
24	18	10.2	14.55	16.26	17.79	OLL, PLL
120	60	7.52	10.89	11.67	12.34	OLL, PLL, COLL - H (Doublesune)
18	12	28.68				Just whatever I have for beginners method, F2L
7	7	18.16	21.69			OLL, PLL
3	1	41.67	53.54			Two look pll and oll
36	24	16.04	20.36	22.56		EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), PLL
36	24	8.4	11.3	12.34	13.37	PLL
48	18	10.37	14.09	14.59	16.9	OCLL (the corners part of 2-look OLL), PLL
18	3	44.37	48.18	56.39		
3	3	18.21	32.33	35.21		OLL, PLL
24	24					
3	6	31	44	46	50	Just whatever I have for beginners method, OLL, PLL
12	3	57.4	1:12.2			Just whatever I have for beginners method
12	6	16.7	22.4	23.9	25.4	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - S (Sune)
60	60					Just whatever I have for beginners method
24	18	17.92	25.3	26.1	30.2	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
36	36	6.12	8.52	9.9	10.86	OLL, PLL
36	36	9.43	12	14	15	OLL, PLL
72	72	8.03	10.25	11.4	12.84	OLL, PLL
48	12	15.5	20.84	22.73		EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - U (Headlights), COLL - H (Doublesune)
36	12	37	1:22			Just whatever I have for beginners method, OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), Other F2L stuff
120	120	21.4	35.32	36.71	38.91	Just whatever I have for beginners method
